index_no,model,simulation,observer,scenario,run,step,time,agent_name,selected_predictor,predictor_fitness,predictor_prediction,my_play
119,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,11,2025-12-20T13:41,L60p_9,st_same_lw,0.012658227848101266,3,GOING
120,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_0,st_same_5w,0.010638297872340425,5,NOT GOING
121,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_1,st_same_5w,0.010526315789473684,5,NOT GOING
122,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.013513513513513514,3,NOT GOING
123,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_3,st_same_2w,0.011494252873563218,3,NOT GOING
124,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_4,st_same_5w,0.010526315789473684,5,NOT GOING
125,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_5,st_trend_8w,0.012048192771084338,3,GOING
126,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_6,st_trend_8w,0.011764705882352941,3,GOING
127,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_7,st_same_lw,0.013513513513513514,5,GOING
128,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_8,st_trend_8w,0.011904761904761904,3,GOING
129,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,12,2025-12-20T13:41,L60p_9,st_same_lw,0.012658227848101266,5,GOING
130,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_0,st_same_5w,0.010638297872340425,2,NOT GOING
131,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_1,st_same_5w,0.010526315789473684,2,NOT GOING
132,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.013513513513513514,4,NOT GOING
133,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_3,st_same_2w,0.011494252873563218,5,NOT GOING
134,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_4,st_same_5w,0.010526315789473684,2,GOING
135,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_5,st_trend_8w,0.012048192771084338,4,GOING
136,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_6,st_trend_8w,0.011764705882352941,4,GOING
137,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_7,st_same_lw,0.013513513513513514,7,NOT GOING
138,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_8,st_trend_8w,0.011904761904761904,4,GOING
139,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,13,2025-12-20T13:41,L60p_9,st_same_lw,0.012658227848101266,7,NOT GOING
140,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_0,st_same_5w,0.010638297872340425,3,NOT GOING
141,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_1,st_same_5w,0.010526315789473684,3,NOT GOING
142,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.013513513513513514,6,NOT GOING
143,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_3,st_same_2w,0.011494252873563218,7,NOT GOING
144,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_4,st_same_5w,0.010526315789473684,3,GOING
145,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_5,st_trend_8w,0.012048192771084338,5,NOT GOING
146,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_6,st_trend_8w,0.011764705882352941,5,NOT GOING
147,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_7,st_same_lw,0.013513513513513514,8,NOT GOING
148,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_8,st_trend_8w,0.011904761904761904,5,GOING
149,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,14,2025-12-20T13:41,L60p_9,st_same_lw,0.012658227848101266,8,NOT GOING
150,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,15,2025-12-20T13:41,L60p_0,st_same_5w,0.010638297872340425,3,NOT GOING
151,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,15,2025-12-20T13:41,L60p_1,st_same_5w,0.010526315789473684,3,NOT GOING
152,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,15,2025-12-20T13:41,L60p_2,st_round_avg_4w,0.013513513513513514,6,NOT GOING
153,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,15,2025-12-20T13:41,L60p_3,st_same_2w,0.011494252873563218,8,NOT GOING
154,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,15,2025-12-20T13:41,L60p_4,st_same_5w,0.010526315789473684,3,GOING
155,elFarolClassic,elFarolClassic,LikeSixtyPercentPlayer_obs1,Scenario1,0,15,2025-12-20T13:41,L60p_5,st_trend_8w,0.012048192771084338,5,NOT GOING
